threshold,tp,fp,tn,fn,recall_sensitivity,specificity,precision,f1,balanced_accuracy,youden_j,accuracy,predicted_positive_rate
0.57,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.58,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.59,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.6,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.61,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.62,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.63,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.64,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.65,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.66,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.67,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.68,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.69,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.7,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.71,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.72,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.73,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
