model,threshold,net_benefit,treat_all_nb,advantage
Logistic Regression,0.2678,0.3542737157403766,0.2611379641876751,0.09313575155270148
Logistic Regression,0.2728,0.3524419675162059,0.2561006565712056,0.09634131094500026
Logistic Regression,0.2777,0.35058507138156947,0.25099419220095553,0.09959087918061393
Logistic Regression,0.2827,0.3616236729300782,0.2458171370627007,0.11580653586737749
Logistic Regression,0.2876,0.36003303055326175,0.24056801721920645,0.11946501333405529
Logistic Regression,0.2926,0.3584200912174925,0.2352453174111681,0.12317477380632441
Logistic Regression,0.2976,0.3567843827895328,0.22984747959890092,0.12693690319063186
Logistic Regression,0.3025,0.3551254197116334,0.2243729014418329,0.13075251826980053
Logistic Regression,0.3075,0.35344270252098164,0.21881993471268207,0.13462276780829957
Logistic Regression,0.3124,0.3517357173483576,0.21318688364302288,0.13854883370533475
Logistic Regression,0.3174,0.3336104927719913,0.20747200319675158,0.1261384895752397
Logistic Regression,0.3224,0.315459927140255,0.20167349726775957,0.11378642987249543
Logistic Regression,0.3273,0.31367690275544996,0.19578951679790296,0.117887385957547
Logistic Regression,0.3323,0.2954739574092336,0.1898181578111267,0.10565579959810689
Logistic Regression,0.3372,0.2936373821208172,0.1837574593593525,0.10987992276146469
Logistic Regression,0.3422,0.3003007279459192,0.17760540137547431,0.12269532657044491
Logistic Regression,0.3471,0.29859741005129675,0.17135990242852528,0.12723750762277147
Logistic Regression,0.3521,0.29686802321872807,0.1650188173757734,0.13184920584295468
Logistic Regression,0.3571,0.29511196436338544,0.15857993490618388,0.13653202945720155
Logistic Regression,0.362,0.2933286116533365,0.15204097496933783,0.14128763668399869
Logistic Regression,0.367,0.2915173237753883,0.14539958608352754,0.14611773769186076
Logistic Regression,0.3719,0.2896774391661585,0.13865334251635175,0.15102409664980676
Logistic Regression,0.3769,0.287808275206438,0.13179974133070982,0.15600853387572816
Logistic Regression,0.3818,0.28590912737678176,0.12483619928863687,0.16107292808814488
Logistic Regression,0.3868,0.29432036970055064,0.1177600496049353,0.17656032009561534
Logistic Regression,0.3918,0.2925769730792402,0.11056853854202991,0.18200843453721027
Logistic Regression,0.3967,0.2908049205446669,0.10325882183691504,0.18754609870775185
Logistic Regression,0.4017,0.289003499723706,0.09582796095045126,0.19317553877325472
Logistic Regression,0.4066,0.287171974433566,0.0882729191286239,0.19889905530494212
Logistic Regression,0.4116,0.2853095836786679,0.08059055726466907,0.2047190264139988
Logistic Regression,0.4166,0.2834155405963784,0.0727776295502251,0.21063791104615331
Logistic Regression,0.4215,0.2814890313485297,0.064830778902849,0.2166582524456807
Logistic Regression,0.4265,0.27952921395544345,0.05674653215636821,0.22278268179907523
Logistic Regression,0.4314,0.2775352170689513,0.04852129499958807,0.22901392206936322
Logistic Regression,0.4364,0.27550613868065416,0.04015134664786241,0.23535479203279175
Logistic Regression,0.4413,0.27344104476139747,0.03163283423092855,0.24180821053046891
